name,ring,quadrant,isNew,description
Windows Server,Tillämpa,Platform,FALSE,<p></p>
Android,Tillämpa,Platform,FALSE,<p></p>
MSSQL Server,Tillämpa,Platform,FALSE,<p></p>
Webbläsare klient,Tillämpa,Platform,FALSE,<p></p>
F5/Zen,Tillämpa,Platform,FALSE,<p></p>
MYSQL,Tillämpa,Platform,FALSE,<p></p>
PostgreSQL,Tillämpa,Platform,FALSE,<p></p>
GeoServer,Tillämpa,Platform,FALSE,<p></p>
Active Directory,Tillämpa,Platform,FALSE,<p></p>
OP5,Tillämpa,Platform,FALSE,<p></p>
Postgis,Tillämpa,Platform,FALSE,<p></p>
RedHat,Tillämpa,Platform,FALSE,<p></p>
VMware,Tillämpa,Platform,FALSE,<p></p>
Apache,Tillämpa,Platform,FALSE,<p></p>
Open Shift,Utvärdera,Platform,FALSE,<p></p>
Atomic host + Core OS = Docker OS,Utvärdera,Platform,FALSE,<p></p>
Remote Access - Direct access,Utvärdera,Platform,FALSE,<p></p>
Docker Swarm,Utvärdera,Platform,FALSE,<p></p>
F5,Utvärdera,Platform,FALSE,<p></p>
Applikationsmedveten lastbalanserare,Utvärdera,Platform,FALSE,<p></p>
Zevennet,Utvärdera,Platform,FALSE,<p></p>
Kubernetes Tectonic,Utvärdera,Platform,FALSE,<p></p>
Entryscape,Prova,Platform,FALSE,<p></p>
Cent OS,Avveckla,Platform,FALSE,<p></p>
Degree,Avveckla,Platform,FALSE,<p></p>
Oracle DB,Avveckla,Platform,FALSE,<p></p>
GDPR,Tillämpa,Tekniker,FALSE,<p></p>
WCAG,Tillämpa,Tekniker,FALSE,<p></p>
REST,Tillämpa,Tekniker,FALSE,<p></p>
WMS,Tillämpa,Tekniker,FALSE,<p></p>
SCRUM,Tillämpa,Tekniker,FALSE,<p></p>
ITIL,Tillämpa,Tekniker,FALSE,<p></p>
Geojson 2008,Tillämpa,Tekniker,FALSE,<p></p>
DevOps,Utvärdera,Tekniker,FALSE,<p></p>
GeoPackage,Utvärdera,Tekniker,FALSE,<p></p>
Test Driven Development,Prova,Tekniker,FALSE,<p></p>
WFS,Prova,Tekniker,FALSE,<p></p>
GeoJSON 2016,Prova,Tekniker,FALSE,<p></p>
Sparql,Avveckla,Tekniker,FALSE,<p></p>
